artist_name,total_canciones,total_streams_m,avg_streams_m,avg_danceability,avg_energy,avg_bpm
"Myke Towers, Quevedo",1,221.4,221.41,79.0,74.0,113.0
"Pharrell Williams, Tyler, The Creator, 21 Savage",1,136.7,136.68,88.0,56.0,120.0
"Ana Castela, AgroPlay",1,233.8,233.8,69.0,71.0,160.0
Shawn Mendes,3,2256.8,752.27,62.0,59.3,116.0
"Camila Cabello, Ed Sheeran",1,756.9,756.91,76.0,70.0,95.0
Niall Horan,1,144.6,144.58,57.0,76.0,92.0
"Gorillaz, Bad Bunny",1,149.8,149.78,64.0,77.0,95.0
"Natanael Cano, Peso Pluma",1,436.0,436.03,78.0,83.0,138.0
Darlene Love,1,242.8,242.77,34.0,76.0,126.0
LE SSERAFIM,2,530.6,265.28,87.0,71.0,105.0
Gunna,1,95.2,95.22,85.0,62.0,130.0
teto,1,139.2,139.19,87.0,50.0,119.0
"Tyler, The Creator",3,600.7,200.22,60.3,72.7,105.0
"The Weeknd, Future",1,96.2,96.18,60.0,57.0,119.0
"The Weeknd, 21 Savage, Metro Boomin",1,844.0,843.96,71.0,61.0,98.0
Luke Combs,1,157.1,157.06,71.0,60.0,98.0
Plan B,1,540.7,540.65,84.0,77.0,95.0
NF,1,52.7,52.72,73.0,86.0,106.0
Shakira,1,123.1,123.12,75.0,48.0,144.0
Eden Muï¿½ï,1,299.7,299.65,55.0,44.0,189.0
"Post Malone, Swae Lee",1,2808.1,2808.1,76.0,50.0,90.0
"Sean Paul, Dua Lipa",1,956.9,956.87,74.0,89.0,102.0
V,1,317.6,317.62,44.0,38.0,139.0
PinkPantheress,1,156.3,156.34,66.0,84.0,133.0
"Lana Del Rey, Taylor Swift",1,60.4,60.35,66.0,40.0,110.0
"NEIKED, Mae Muller, Polo G",1,421.0,421.04,72.0,68.0,110.0
"Taylor Swift, Ice Spice",1,46.1,46.14,62.0,62.0,90.0
Jain,1,165.5,165.48,82.0,66.0,116.0
"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",1,395.6,395.59,23.0,25.0,96.0
Melanie Martinez,1,67.1,67.07,72.0,66.0,100.0
Tom Odell,1,1813.7,1813.67,45.0,54.0,123.0
"Gabito Ballesteros, Junior H, Peso Pluma",1,86.4,86.44,65.0,74.0,140.0
"Dua Lipa, Megan Thee Stallion",1,299.6,299.63,81.0,63.0,124.0
"Post Malone, Doja Cat",1,609.3,609.29,74.0,69.0,101.0
ThxSoMch,2,605.1,302.55,71.5,68.0,130.0
"Fuerza Regida, Peso Pluma",1,159.0,158.95,76.0,81.0,145.0
XXXTENTACION,2,2223.1,1111.54,67.0,35.5,143.0
INTERWORLD,1,357.6,357.58,59.0,64.0,175.0
Fujii Kaze,1,403.1,403.1,60.0,76.0,158.0
Lil Baby,2,187.3,93.67,72.0,64.0,164.0
"Oscar Maydon, Junior H",1,307.4,307.37,70.0,54.0,98.0
Victor Cibrian,1,164.9,164.86,70.0,62.0,154.0
"Shae Gill, Ali Sethi",1,284.3,284.25,71.0,60.0,92.0
"Don Toliver, Future, Justin Bieber",1,105.1,105.06,84.0,67.0,137.0
Carin Leon,1,77.3,77.31,54.0,40.0,158.0
Peso Pluma,2,425.4,212.7,79.5,70.5,107.0
Radiohead,1,1271.3,1271.29,53.0,34.0,92.0
"Bad Bunny, The Marï¿½ï",1,319.6,319.55,78.0,60.0,108.0
Sabrina Carpenter,1,342.9,342.9,74.0,68.0,139.0
Rosa Linn,2,1437.7,718.84,56.0,64.0,170.0
Chase Atlantic,1,499.0,498.96,67.0,54.0,120.0
Eminem,4,6183.8,1545.95,79.8,68.0,118.0
"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",1,176.3,176.29,93.0,45.0,135.0
OneRepublic,2,3097.2,1548.58,68.5,76.0,131.0
One Direction,1,1131.1,1131.09,67.0,52.0,120.0
"Dr. Dre, 2Pac, Roger",1,579.4,579.4,77.0,84.0,92.0
PnB Rock,1,380.3,380.32,64.0,60.0,102.0
"Labrinth, Zendaya",1,426.2,426.2,37.0,67.0,141.0
"The Weeknd, ROSALï¿½",1,374.7,374.71,77.0,30.0,136.0
"Mc Pedrinho, DJ 900",1,12.0,11.96,93.0,65.0,133.0
"Intense, AP Dhillon, Gurinder Gill",1,327.5,327.5,84.0,72.0,95.0
"Ed Sheeran, Elton John",1,135.7,135.72,59.0,94.0,114.0
"Arcangel, Bizarrap",1,100.4,100.41,72.0,78.0,124.0
"Anuel Aa, Jhay Cortez",1,355.2,355.22,76.0,84.0,105.0
Billie Eilish,5,2616.4,523.29,44.2,29.6,97.0
Coldplay,3,3825.2,1275.06,47.3,44.3,129.0
Paul McCartney,1,403.9,403.94,75.0,58.0,95.0
"Ray Dalton, Ryan Lewis, Macklemore",1,1953.5,1953.53,63.0,93.0,146.0
"Coldplay, BTS",1,1062.0,1061.97,58.0,68.0,105.0
New West,1,411.8,411.75,60.0,35.0,120.0
Troye Sivan,2,431.4,215.71,65.0,70.5,136.0
Tears For Fears,1,1206.0,1205.95,64.0,81.0,112.0
Lizzy McAlpine,1,293.2,293.19,51.0,33.0,148.0
NewJeans,6,1544.6,257.43,76.7,75.7,125.0
Kenshi Yonezu,1,210.0,210.04,58.0,94.0,102.0
"Offset, JID",1,25.0,24.98,83.0,69.0,143.0
"Ugly Dray, Tesla Jnr",1,121.1,121.08,71.0,52.0,96.0
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",1,863.8,863.76,82.0,86.0,123.0
James Arthur,2,2686.3,1343.17,37.0,56.0,125.0
"Taiu, Milo j",1,248.1,248.09,84.0,71.0,120.0
"21 Savage, Gunna",1,60.7,60.68,68.0,73.0,148.0
KALUSH,1,53.7,53.73,83.0,82.0,105.0
Steve Lacy,3,1945.1,648.38,54.3,53.3,140.0
Jaymes Young,1,888.1,888.05,67.0,67.0,122.0
"Dua Lipa, DaBaby",1,1802.5,1802.51,70.0,83.0,103.0
"Ed Sheeran, J Balvin",1,106.9,106.93,89.0,64.0,88.0
Nirvana,2,2058.8,1029.42,48.0,55.5,112.0
"Mc Pedrinho, Pedro Sampaio",1,208.2,208.17,78.0,57.0,135.0
"Drake, Travis Scott, 21 Savage",1,191.3,191.33,75.0,63.0,122.0
"Anitta, Tini, Becky G",1,121.2,121.19,85.0,83.0,90.0
Daddy Yankee,2,815.7,407.86,77.5,85.5,96.0
Juice WRLD,2,2474.1,1237.06,52.0,55.0,122.0
"Migrantes, LiL CaKe, Nico Valdi",1,231.3,231.33,84.0,79.0,93.0
"Julieta Venegas, Bad Bunny, Tainy",1,775.5,775.54,64.0,70.0,170.0
"Grupo Marca Registrada, Junior H",1,287.3,287.28,79.0,59.0,99.0
"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",1,393.2,393.23,79.0,70.0,90.0
"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",1,223.6,223.58,77.0,87.0,95.0
"Polima WestCoast, Pailita",1,307.8,307.75,80.0,85.0,110.0
Charlie Puth,2,646.7,323.35,70.0,53.5,146.0
a-ha,1,1479.1,1479.12,57.0,90.0,84.0
j-hope,1,155.8,155.8,78.0,72.0,97.0
"AnnenMayKantereit, Giant Rooks",1,236.9,236.87,68.0,43.0,98.0
"Carin Leon, Grupo Frontera",1,0.0,0.0,49.0,64.0,162.0
"Travis Scott, Young Thug, Metro Boomin",1,276.3,276.26,75.0,53.0,119.0
Kelly Clarkson,1,485.3,485.29,51.0,81.0,160.0
Jin,1,203.4,203.44,54.0,76.0,125.0
"Sean Paul, Feid",1,115.0,115.01,82.0,62.0,91.0
"Bad Bunny, Jhay Cortez",2,2371.6,1185.8,76.5,62.5,112.0
Adele,4,4508.7,1127.19,61.8,63.5,111.0
"Lady Gaga, Bradley Cooper",1,2159.4,2159.35,57.0,40.0,96.0
BoyWithUke,1,583.0,582.98,59.0,61.0,180.0
Gayle,1,1007.6,1007.61,70.0,54.0,122.0
"Brray, Rauw Alejandro, Lyanno",1,471.8,471.82,83.0,83.0,102.0
"Tini, L-Gante",1,201.0,200.97,52.0,69.0,94.0
"Frank Sinatra, B. Swanson Quartet",1,473.3,473.25,60.0,32.0,143.0
"Luis R Conriquez, La Adictiva",1,323.5,323.46,70.0,59.0,113.0
Southstar,1,154.4,154.36,66.0,58.0,145.0
Duki,2,342.4,171.19,71.0,77.5,107.0
"Blackbear, BoyWithUke",1,197.6,197.64,78.0,75.0,98.0
"The Weeknd, Madonna, Playboi Carti",1,115.4,115.36,85.0,68.0,99.0
"Calvin Harris, Dua Lipa",1,1897.5,1897.52,79.0,86.0,124.0
Lil Yachty,1,115.3,115.33,70.0,56.0,150.0
Future,2,305.0,152.49,76.5,63.0,107.0
"Sebastian Yatra, Manuel Turizo, Beï¿½ï",1,90.8,90.84,82.0,85.0,127.0
Lil Tjay,1,191.0,190.98,68.0,55.0,143.0
Manuel Turizo,1,1214.1,1214.08,84.0,68.0,125.0
"Drake, DJ Khaled, Lil Baby",1,170.7,170.73,72.0,46.0,130.0
TV Girl,1,466.2,466.23,56.0,87.0,105.0
"Marshmello, Manuel Turizo",1,223.6,223.63,78.0,68.0,124.0
Oxlade,1,222.4,222.41,65.0,66.0,93.0
"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",1,432.7,432.72,58.0,45.0,206.0
"Swae Lee, Lil Wayne, Offset, Metro Boomin",1,86.8,86.77,61.0,48.0,146.0
C. Tangana,1,339.5,339.47,67.0,46.0,126.0
"MC Xenon, Os Gemeos da Putaria",1,93.6,93.59,53.0,36.0,83.0
Frank Ocean,2,1628.6,814.32,72.5,58.0,142.0
"Feid, Myke Towers, Sky Rompiendo",1,107.8,107.75,72.0,64.0,106.0
Treasure,1,183.0,182.98,72.0,64.0,85.0
"Xamï¿½ï¿½, Gustah, Neo B",1,240.7,240.68,82.0,61.0,133.0
"Arijit Singh, Sachin-Jigar",1,139.8,139.84,59.0,56.0,94.0
"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",1,1.4,1.37,82.0,74.0,105.0
"Rauw Alejandro, Bizarrap",2,121.2,60.59,77.5,77.0,129.0
"Travis Scott, 21 Savage, Metro Boomin",1,195.5,195.52,49.0,66.0,88.0
Sam Ryder,1,54.7,54.68,47.0,83.0,80.0
Musical Youth,1,195.9,195.92,73.0,67.0,151.0
"De La Ghetto, Duki, Quevedo",1,178.5,178.51,79.0,84.0,82.0
"Bad Bunny, Grupo Frontera",1,505.7,505.67,57.0,72.0,83.0
"Fuerza Regida, Natanael Cano",1,288.1,288.1,66.0,60.0,149.0
"Maroon 5, Wiz Khalifa",1,1479.3,1479.26,74.0,74.0,110.0
"Bad Bunny, Eladio Carrion",1,250.3,250.31,68.0,76.0,150.0
Giveon,1,951.6,951.64,61.0,46.0,129.0
"Sam Smith, Kim Petras",1,1230.7,1230.68,71.0,47.0,131.0
SZA,19,4557.8,239.88,57.9,52.7,117.0
"Lost Frequencies, Calum Scott",1,972.5,972.51,67.0,64.0,121.0
Bruno Mars,4,5846.9,1461.73,62.0,60.8,136.0
Aerosmith,1,838.6,838.59,39.0,43.0,80.0
"Rï¿½ï¿½ma, Selena G",1,899.2,899.18,80.0,80.0,107.0
"Chris Brown, Rvssian, Rauw Alejandro",1,436.7,436.7,73.0,85.0,98.0
The Neighbourhood,3,4010.0,1336.67,59.0,63.7,101.0
"Kendrick Lamar, Ghostface Killah, Summer Walker",1,76.8,76.83,57.0,82.0,138.0
"Karol G, Shakira",1,619.0,618.99,72.0,63.0,180.0
"Schï¿½ï¿½rze, DJ R",1,130.4,130.42,44.0,92.0,140.0
"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",1,116.1,116.14,89.0,74.0,130.0
"El Chachito, Junior H",1,198.3,198.28,70.0,48.0,139.0
Ed Sheeran,9,13908.9,1545.44,69.7,64.8,117.0
"L7nnon, DJ Biel do Furduncinho, Bianca",1,176.1,176.1,95.0,57.0,130.0
"BTS, Jung Kook, FIFA Sound",1,323.4,323.36,71.0,88.0,115.0
Treyce,1,70.1,70.07,82.0,59.0,128.0
Playboi Carti,1,506.8,506.78,79.0,91.0,140.0
Jnr Choi,1,245.1,245.1,74.0,65.0,144.0
"Feid, Mora",1,477.0,477.03,76.0,79.0,92.0
Hotel Ugly,2,587.0,293.49,56.5,44.0,112.0
Tini,1,217.7,217.67,91.0,58.0,120.0
The Police,1,1593.3,1593.27,82.0,45.0,117.0
John Legend,1,2086.1,2086.12,42.0,26.0,120.0
"James Hype, Miggy Dela Rosa",1,462.8,462.79,84.0,69.0,125.0
Tones and I,1,2864.8,2864.79,82.0,59.0,98.0
"Kendrick Lamar, Taylour Paige",1,68.9,68.9,65.0,69.0,108.0
"WizKid, Toian, Metro Boomin, Don Toliver, Beam",1,32.8,32.76,92.0,51.0,101.0
Mae Stephens,1,165.6,165.58,90.0,73.0,116.0
The Weeknd,22,14185.5,644.8,57.7,63.9,120.0
Danny Ocean,1,421.4,421.37,45.0,67.0,92.0
"Drake, Future, Tems",1,556.6,556.59,46.0,64.0,83.0
SEVENTEEN,1,91.2,91.22,77.0,88.0,137.0
Anggi Marito,1,179.7,179.66,51.0,44.0,130.0
"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",1,129.3,129.31,71.0,40.0,130.0
"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",1,236.9,236.94,70.0,44.0,170.0
Jessica Darrow,1,267.8,267.76,65.0,58.0,180.0
"Elton John, Britney Spears",1,284.2,284.22,67.0,77.0,126.0
Surf Curse,1,824.4,824.42,35.0,94.0,180.0
Lisa,1,863.6,863.63,83.0,55.0,140.0
"Marshmello, Juice WRLD",1,84.7,84.7,65.0,53.0,83.0
Linkin Park,2,2985.6,1492.8,52.5,88.0,108.0
"Luude, Colin Hay",1,252.9,252.87,31.0,86.0,172.0
Kate Bush,1,1024.9,1024.86,63.0,55.0,108.0
Bellakath,1,168.7,168.68,90.0,81.0,101.0
Lil Uzi Vert,1,457.2,457.18,49.0,55.0,150.0
"Twisted, Oliver Tree",1,213.4,213.44,58.0,62.0,140.0
Hozier,1,2135.2,2135.16,57.0,66.0,129.0
"Coolio, L.V.",1,1357.6,1357.61,63.0,61.0,80.0
"SZA, Phoebe Bridgers",1,110.1,110.07,62.0,43.0,125.0
"Kali Uchis, Amaarae, Moliy",1,354.1,354.07,86.0,53.0,110.0
Leo Santana,1,134.3,134.29,81.0,77.0,135.0
"David Guetta, Ella Henderson, Becky Hill",1,286.7,286.74,60.0,71.0,123.0
Chanel,1,65.7,65.72,73.0,81.0,105.0
Ckay,1,726.8,726.84,74.0,73.0,93.0
"Feid, Sech, Jhayco",1,133.9,133.9,82.0,77.0,97.0
"j-hope, J. Cole",1,116.6,116.6,68.0,82.0,94.0
"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",1,223.3,223.32,56.0,76.0,84.0
"Israel & Rodolffo, Mari Fernandez",1,138.5,138.52,63.0,92.0,154.0
"BYOR, Imanbek",1,383.8,383.84,85.0,80.0,122.0
"Israel & Rodolffo, Ana Castela",1,263.5,263.45,65.0,95.0,158.0
Josï¿½ï¿½ Felic,1,520.0,520.03,50.0,82.0,148.0
"Jasiel Nuï¿½ï¿½ez, Peso P",2,129.1,64.55,73.5,65.0,120.0
"Calvin Harris, Dua Lipa, Young Thug",1,190.6,190.63,82.0,70.0,100.0
"THE ANXIETY, Willow, Tyler Cole",1,530.5,530.51,77.0,47.0,95.0
"Shakira, Rauw Alejandro",1,606.4,606.36,70.0,64.0,174.0
The Walters,1,972.2,972.16,58.0,67.0,76.0
"Sleepy hallow, 347aidan",1,160.9,160.85,81.0,58.0,77.0
Panic! At The Disco,1,582.9,582.86,51.0,82.0,110.0
"Nengo Flow, Bad Bunny",1,304.1,304.12,89.0,66.0,94.0
"Justin Bieber, Don Toliver",1,106.9,106.92,82.0,66.0,150.0
BIGBANG,1,53.9,53.91,68.0,58.0,118.0
"Tiï¿½ï¿½sto, Kar",1,567.0,566.95,77.0,79.0,120.0
"Kendrick Lamar, Jay Rock",1,1093.6,1093.61,74.0,53.0,144.0
NMIXX,1,135.4,135.44,39.0,77.0,200.0
Keisya Levronka,1,184.8,184.81,49.0,40.0,130.0
"Anuel Aa, Myke Towers, Jhay Cortez",1,177.1,177.13,63.0,75.0,90.0
Farruko,1,1309.9,1309.89,76.0,77.0,130.0
Drake,4,655.6,163.89,76.5,51.0,137.0
Kevin Kaarl,1,244.9,244.89,58.0,36.0,92.0
Maluma,1,513.6,513.64,76.0,77.0,178.0
