released_year,total_canciones,total_streams_m,avg_streams_m,avg_danceability,avg_energy,avg_bpm
1930,1,91.0,90.6,65.0,80.0,130.0
1942,1,396.0,395.59,23.0,25.0,96.0
1946,1,390.0,389.77,36.0,15.0,139.0
1950,1,473.0,473.25,60.0,32.0,143.0
1952,1,396.0,395.59,67.0,36.0,140.0
1957,2,920.0,459.98,62.5,35.5,147.0
1958,3,1311.0,436.85,70.7,48.0,135.0
1959,2,573.0,286.71,57.0,30.0,120.5
1963,3,1311.0,437.09,37.0,71.0,140.0
1968,1,1146.0,1145.73,74.0,70.0,116.0
1970,1,520.0,520.03,50.0,82.0,148.0
1971,1,460.0,460.49,33.0,61.0,147.0
1973,1,839.0,838.59,39.0,43.0,80.0
1975,2,4206.0,2103.05,44.5,56.5,86.5
1979,1,404.0,403.94,75.0,58.0,95.0
1982,2,350.0,175.14,69.5,62.5,148.0
1983,1,1593.0,1593.27,82.0,45.0,117.0
1984,4,3472.0,867.91,65.8,74.8,101.8
1985,2,2231.0,1115.41,63.5,68.0,110.0
1986,2,1134.0,566.84,52.5,70.5,142.5
1987,1,1554.0,1553.5,45.0,90.0,125.0
1991,2,2059.0,1029.42,48.0,55.5,111.5
1992,1,1271.0,1271.29,53.0,34.0,92.0
1994,1,1450.0,1449.78,34.0,63.0,150.0
1995,2,1937.0,968.51,70.0,72.5,86.0
1996,1,107.0,106.93,89.0,64.0,88.0
1997,1,104.0,103.76,74.0,73.0,144.0
1998,1,1285.0,1284.94,32.0,72.0,156.0
1999,5,5403.0,1080.62,77.4,76.2,115.0
2000,4,3934.0,983.5,63.5,63.8,114.8
2002,6,8680.0,1446.62,73.8,69.2,136.7
2003,2,3168.0,1584.03,42.5,89.5,129.0
2004,4,3516.0,878.93,68.5,69.0,111.8
2005,1,181.0,180.58,63.0,88.0,93.0
2007,1,1217.0,1217.12,52.0,85.0,140.0
2008,2,2481.0,1240.41,64.0,63.5,113.0
2010,7,7570.0,1081.41,61.7,73.3,118.6
2011,10,9363.0,936.32,60.7,63.1,127.9
2012,10,13415.0,1341.53,61.7,62.8,142.8
2013,13,15863.0,1220.19,57.0,63.9,120.1
2014,13,16433.0,1264.05,63.5,65.5,106.0
2015,11,10931.0,993.72,53.7,61.8,127.4
2016,18,20243.0,1124.61,63.0,63.2,126.9
2017,23,31458.0,1367.72,63.5,60.7,119.0
2018,10,15031.0,1503.05,55.0,50.9,115.3
2019,36,37871.0,1051.97,60.7,59.6,118.4
2020,37,34704.0,937.94,67.4,66.4,118.0
2021,119,73808.0,620.24,68.2,63.9,125.8
2022,402,116402.0,289.56,68.7,63.6,122.0
2023,175,25809.0,147.48,70.0,68.2,124.1
