ranking,track_name,artist_name,released_year,released_month,mode,musical_key,streams_m,bpm,danceability,energy,valence,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
1,Blinding Lights,The Weeknd,2019,11,Major,C#,3703.9,171,50,80,38,43899,672,0
2,Shape of You,Ed Sheeran,2017,1,Minor,C#,3562.5,96,83,65,93,32181,33,0
3,Someone You Loved,Lewis Capaldi,2018,11,Major,C#,2887.2,110,50,41,45,17836,440,0
4,Dance Monkey,Tones and I,2019,5,Minor,F#,2864.8,98,82,59,54,24529,533,0
5,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018,10,Major,D,2808.1,90,76,50,91,24094,372,843
6,One Dance,"Drake, WizKid, Kyla",2016,4,Major,C#,2713.9,104,77,63,36,43257,433,0
7,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,7,Major,C#,2665.3,170,59,76,48,17050,492,798
8,Believer,Imagine Dragons,2017,1,Minor,A#,2594.0,125,77,78,74,18986,250,0
9,Closer,"The Chainsmokers, Halsey",2016,5,Major,G#,2591.2,95,75,52,64,28032,315,0
10,Starboy,"The Weeknd, Daft Punk",2016,9,Major,G,2565.5,186,68,59,49,29536,281,0
11,Perfect,Ed Sheeran,2017,1,Major,G#,2559.5,95,60,45,17,16596,7,0
12,Heat Waves,Glass Animals,2020,6,Major,B,2558.0,81,76,53,53,22543,386,707
13,As It Was,Harry Styles,2022,3,Minor,F#,2513.2,174,52,73,66,23575,403,863
14,Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2019,6,Minor,A,2484.8,117,76,52,77,15010,453,0
15,Say You Won't Let Go,James Arthur,2016,9,Major,A#,2420.5,99,40,56,45,15722,231,0
16,lovely - Bonus Track,"Billie Eilish, Khalid",2017,8,Minor,E,2355.7,115,35,30,12,15032,221,0
17,Watermelon Sugar,Harry Styles,2019,11,Major,Unknown,2322.6,95,55,82,56,21915,437,0
18,Don't Start Now,Dua Lipa,2019,10,Minor,B,2303.0,124,79,79,68,27119,532,0
19,Lucid Dreams,Juice WRLD,2017,6,Minor,B,2288.7,84,44,48,22,14749,188,710
20,Sweater Weather,The Neighbourhood,2012,5,Major,A#,2282.8,124,61,81,41,16413,166,0
21,Thinking Out Loud,Ed Sheeran,2014,1,Major,D,2280.6,79,78,45,58,33032,363,0
22,Photograph,Ed Sheeran,2014,6,Major,E,2236.7,108,61,38,20,18778,228,0
23,Something Just Like This,"The Chainsmokers, Coldplay",2017,2,Minor,B,2204.1,103,61,65,47,23375,336,0
24,Bohemian Rhapsody - Remastered 2011,Queen,1975,10,Minor,Unknown,2197.0,71,41,40,23,40112,321,0
25,Shallow,"Lady Gaga, Bradley Cooper",2018,9,Major,G,2159.4,96,57,40,30,16636,368,0
26,Take Me To Church,Hozier,2013,9,Minor,E,2135.2,129,57,66,41,23804,187,0
27,Circles,Post Malone,2019,8,Major,Unknown,2132.3,120,70,75,59,19664,391,633
28,Love Yourself,Justin Bieber,2015,11,Major,E,2123.3,100,61,38,53,22730,289,0
